data,produto,regiao,quantidade,preco_unitario,faturamento
2024-01-11,Mouse,Nordeste,5,128.61,643.05
2024-01-11,Placa de Vídeo,Nordeste,6,1624.64,9747.86
2024-01-11,SSD,Sul,7,529.0,3703.01
2024-01-12,Placa de Vídeo,Sudeste,5,1795.27,8976.37
2024-01-12,Mouse,Norte,5,132.51,662.54
2024-01-12,Mouse,Sul,4,126.89,507.55
2024-01-12,Placa de Vídeo,Sudeste,3,1935.69,5807.06
2024-01-12,SSD,Nordeste,8,435.62,3484.98
2024-01-13,SSD,Sudeste,4,344.11,1376.44
2024-01-13,Placa de Vídeo,Sudeste,10,1872.95,18729.54
2024-01-13,SSD,Centro-Oeste,3,415.09,1245.28
2024-01-13,Placa de Vídeo,Sul,2,1879.37,3758.73
2024-01-13,Placa de Vídeo,Sul,6,1692.94,10157.65
2024-01-13,SSD,Sul,4,477.3,1909.22
2024-01-13,Mouse,Sudeste,6,118.08,708.46
2024-01-13,SSD,Sul,4,429.95,1719.82
2024-01-13,Mouse,Norte,5,123.04,615.22
2024-01-13,Mouse,Sul,5,97.26,486.32
2024-01-14,Placa de Vídeo,Norte,4,1804.56,7218.24
2024-01-14,Mouse,Norte,9,110.54,994.82
2024-01-14,Placa de Vídeo,Norte,6,1850.24,11101.45
2024-01-14,Mouse,Sudeste,3,132.86,398.59
2024-01-14,SSD,Norte,8,440.97,3527.77
2024-01-14,Mouse,Sudeste,7,120.05,840.36
2024-01-14,Mouse,Sul,2,131.28,262.56
2024-01-14,Mouse,Norte,6,134.65,807.92
2024-01-14,Mouse,Nordeste,7,111.67,781.7
2024-01-14,Placa de Vídeo,Centro-Oeste,4,1988.12,7952.46
2024-01-15,Mouse,Norte,6,101.59,609.55
2024-01-15,SSD,Centro-Oeste,4,516.41,2065.62
2024-01-15,Placa de Vídeo,Nordeste,2,1845.99,3691.99
2024-01-15,Mouse,Nordeste,2,129.11,258.23
2024-01-15,SSD,Centro-Oeste,4,464.62,1858.48
2024-01-15,SSD,Norte,7,386.81,2707.68
2024-01-15,Mouse,Sul,4,119.64,478.55
2024-01-15,SSD,Centro-Oeste,6,427.16,2562.96
2024-01-15,Mouse,Sudeste,5,104.98,524.88
2024-01-16,Mouse,Sul,9,115.78,1042.05
2024-01-16,Mouse,Centro-Oeste,3,140.27,420.82
2024-01-16,Mouse,Centro-Oeste,5,126.96,634.81
2024-01-16,Placa de Vídeo,Norte,6,1797.56,10785.39
2024-01-16,SSD,Norte,5,535.69,2678.45
2024-01-16,Mouse,Norte,8,101.61,812.91
2024-01-16,SSD,Sudeste,6,391.43,2348.55
2024-01-17,Mouse,Sudeste,7,124.86,874.0
2024-01-17,SSD,Sul,2,438.34,876.68
2024-01-17,SSD,Centro-Oeste,2,387.76,775.53
2024-01-17,SSD,Sul,5,439.1,2195.52
2024-01-17,Placa de Vídeo,Norte,6,1850.38,11102.29
2024-01-17,Mouse,Sul,3,87.69,263.08
2024-01-17,SSD,Norte,3,518.63,1555.89
2024-01-17,SSD,Norte,6,480.88,2885.25
2024-01-17,SSD,Sudeste,5,474.51,2372.55
2024-01-17,SSD,Sudeste,1,407.86,407.86
2024-01-17,Placa de Vídeo,Sudeste,3,1820.11,5460.33
2024-01-17,Placa de Vídeo,Norte,4,1905.07,7620.26
2024-01-17,SSD,Sul,10,490.21,4902.06
2024-01-17,Mouse,Sul,8,116.21,929.71
2024-01-18,Placa de Vídeo,Nordeste,7,1845.11,12915.77
2024-01-18,Placa de Vídeo,Norte,5,1695.1,8475.5
2024-01-18,SSD,Norte,4,480.36,1921.43
2024-01-18,Placa de Vídeo,Norte,6,1828.12,10968.71
2024-01-18,Mouse,Sudeste,4,110.95,443.8
2024-01-18,Mouse,Sul,6,96.2,577.19
2024-01-18,SSD,Nordeste,7,551.84,3862.89
2024-01-18,SSD,Nordeste,6,466.52,2799.13
2024-01-18,Placa de Vídeo,Centro-Oeste,1,1764.59,1764.59
2024-01-18,SSD,Centro-Oeste,4,468.14,1872.57
2024-01-19,Mouse,Nordeste,3,145.08,435.25
2024-01-19,SSD,Nordeste,7,486.92,3408.42
2024-01-19,SSD,Sul,5,409.1,2045.51
2024-01-19,SSD,Centro-Oeste,8,533.2,4265.58
2024-01-19,SSD,Centro-Oeste,5,454.42,2272.1
2024-01-19,SSD,Centro-Oeste,4,465.12,1860.47
2024-01-19,Mouse,Centro-Oeste,6,131.6,789.58
2024-01-19,Placa de Vídeo,Centro-Oeste,3,1684.48,5053.45
2024-01-19,Mouse,Sul,8,139.65,1117.21
2024-01-19,SSD,Sudeste,5,451.57,2257.83
2024-01-19,Mouse,Norte,7,130.68,914.79
2024-01-19,Mouse,Sul,5,121.8,609.02
2024-01-19,Mouse,Centro-Oeste,6,120.97,725.8
2024-01-20,SSD,Sudeste,3,370.98,1112.94
2024-01-20,SSD,Sul,3,400.77,1202.31
2024-01-20,SSD,Sul,8,439.59,3516.69
2024-01-20,Mouse,Norte,5,125.71,628.53
2024-01-20,SSD,Norte,4,363.05,1452.19
2024-01-20,Placa de Vídeo,Norte,4,1787.77,7151.06
2024-01-20,Placa de Vídeo,Sudeste,4,1756.48,7025.94
2024-01-21,SSD,Sudeste,4,423.24,1692.95
2024-01-21,Mouse,Norte,8,135.6,1084.79
2024-01-21,Mouse,Norte,3,131.9,395.69
2024-01-21,SSD,Centro-Oeste,4,499.11,1996.44
2024-01-21,Placa de Vídeo,Sudeste,2,1860.71,3721.43
2024-01-21,SSD,Sul,5,502.45,2512.23
2024-01-21,Mouse,Norte,6,142.93,857.56
2024-01-21,SSD,Centro-Oeste,5,470.31,2351.57
2024-01-21,Placa de Vídeo,Norte,10,1886.05,18860.47
2024-01-21,SSD,Nordeste,5,426.68,2133.38
2024-01-22,Placa de Vídeo,Nordeste,4,1757.58,7030.32
2024-01-22,Placa de Vídeo,Centro-Oeste,4,1705.99,6823.94
2024-01-22,Placa de Vídeo,Norte,6,1764.47,10586.81
2024-01-22,SSD,Norte,5,474.41,2372.05
2024-01-22,Mouse,Norte,9,98.25,884.27
2024-01-22,SSD,Norte,1,405.75,405.75
2024-01-23,SSD,Sul,5,427.93,2139.63
2024-01-23,SSD,Sudeste,2,552.33,1104.66
2024-01-23,SSD,Nordeste,6,443.19,2659.16
2024-01-23,SSD,Sudeste,5,431.87,2159.35
2024-01-23,Placa de Vídeo,Centro-Oeste,8,1667.23,13337.83
2024-01-23,Mouse,Norte,6,119.76,718.58
2024-01-23,SSD,Centro-Oeste,2,442.32,884.63
2024-01-23,Mouse,Sudeste,3,140.86,422.57
2024-01-23,Placa de Vídeo,Centro-Oeste,3,1839.53,5518.59
2024-01-23,Placa de Vídeo,Centro-Oeste,5,1742.66,8713.28
2024-01-23,Mouse,Centro-Oeste,4,122.61,490.43
2024-01-23,Mouse,Sudeste,10,117.46,1174.61
2024-01-23,Mouse,Norte,5,100.0,500.01
2024-01-24,Placa de Vídeo,Sul,4,2041.48,8165.92
2024-01-24,Mouse,Sul,5,99.93,499.66
2024-01-24,Mouse,Nordeste,6,128.27,769.64
2024-01-24,Mouse,Norte,10,112.76,1127.59
2024-01-24,Placa de Vídeo,Nordeste,4,1704.67,6818.67
2024-01-24,Mouse,Sudeste,3,118.09,354.28
2024-01-24,Mouse,Norte,9,106.84,961.58
2024-01-24,Mouse,Sudeste,5,120.41,602.05
2024-01-24,Mouse,Nordeste,11,100.75,1108.28
2024-01-24,Placa de Vídeo,Sul,5,1749.79,8748.95
2024-01-24,Mouse,Sul,7,128.38,898.66
2024-01-24,Mouse,Sudeste,6,116.42,698.5
2024-01-24,Mouse,Nordeste,4,114.5,457.99
2024-01-24,SSD,Centro-Oeste,3,413.07,1239.22
2024-01-25,SSD,Sul,2,470.15,940.31
2024-01-25,Mouse,Norte,9,127.71,1149.38
2024-01-25,SSD,Centro-Oeste,5,457.18,2285.92
2024-01-25,SSD,Sudeste,8,471.63,3773.08
2024-01-25,Placa de Vídeo,Centro-Oeste,2,1888.48,3776.95
2024-01-25,SSD,Sul,5,479.82,2399.08
2024-01-25,Mouse,Norte,7,106.71,746.98
2024-01-26,SSD,Sul,2,457.26,914.53
2024-01-26,Mouse,Norte,5,145.64,728.19
2024-01-26,Placa de Vídeo,Norte,3,1922.18,5766.54
2024-01-26,SSD,Norte,6,519.98,3119.9
2024-01-26,Mouse,Sudeste,2,113.41,226.81
2024-01-26,Mouse,Norte,8,86.88,695.07
2024-01-26,Mouse,Centro-Oeste,6,115.36,692.17
2024-01-26,SSD,Norte,7,419.91,2939.4
2024-01-26,SSD,Centro-Oeste,8,473.17,3785.34
2024-01-27,Placa de Vídeo,Centro-Oeste,3,1834.83,5504.48
2024-01-27,SSD,Nordeste,9,495.28,4457.53
2024-01-27,Placa de Vídeo,Sul,5,2019.91,10099.55
2024-01-27,SSD,Sudeste,3,448.67,1346.01
2024-01-27,Placa de Vídeo,Sul,3,1779.19,5337.56
2024-01-27,SSD,Nordeste,8,523.61,4188.87
2024-01-27,SSD,Sudeste,2,420.18,840.36
2024-01-27,SSD,Sudeste,4,439.87,1759.48
2024-01-27,SSD,Nordeste,7,382.66,2678.64
2024-01-27,SSD,Nordeste,3,417.77,1253.3
2024-01-28,SSD,Nordeste,5,448.38,2241.89
2024-01-28,Mouse,Sul,7,102.32,716.24
2024-01-28,SSD,Sudeste,7,429.35,3005.45
2024-01-28,Mouse,Centro-Oeste,6,109.85,659.11
2024-01-28,Mouse,Centro-Oeste,8,104.27,834.18
2024-01-28,SSD,Norte,4,401.96,1607.84
2024-01-28,SSD,Sul,6,445.02,2670.09
2024-01-28,Mouse,Nordeste,11,102.41,1126.52
2024-01-28,Mouse,Sul,3,99.23,297.69
2024-01-28,Mouse,Norte,6,134.45,806.68
2024-01-28,Placa de Vídeo,Centro-Oeste,2,1737.33,3474.66
2024-01-28,Mouse,Sudeste,4,132.94,531.74
2024-01-28,Mouse,Norte,7,127.0,889.01
2024-01-28,SSD,Nordeste,3,469.44,1408.32
2024-01-29,SSD,Sudeste,3,450.05,1350.14
2024-01-29,SSD,Centro-Oeste,4,417.32,1669.27
2024-01-29,Placa de Vídeo,Norte,1,1817.21,1817.21
2024-01-29,Placa de Vídeo,Nordeste,4,1920.26,7681.05
2024-01-29,SSD,Centro-Oeste,4,467.01,1868.05
2024-01-29,Placa de Vídeo,Nordeste,4,2021.87,8087.5
2024-01-29,SSD,Nordeste,4,423.72,1694.89
2024-01-30,Placa de Vídeo,Sudeste,3,1646.16,4938.49
2024-01-30,Mouse,Sul,8,99.81,798.5
2024-01-30,SSD,Sudeste,7,417.23,2920.61
2024-01-30,Placa de Vídeo,Nordeste,3,1808.87,5426.6
2024-01-30,Placa de Vídeo,Norte,4,1819.73,7278.93
2024-01-31,SSD,Centro-Oeste,9,438.54,3946.9
2024-01-31,SSD,Centro-Oeste,7,463.1,3241.68
2024-01-31,SSD,Sul,6,470.58,2823.46
2024-01-31,Mouse,Nordeste,4,128.85,515.38
2024-01-31,SSD,Centro-Oeste,4,445.64,1782.54
2024-01-31,Mouse,Norte,3,112.67,338.01
2024-01-31,SSD,Norte,8,499.76,3998.1
2024-02-01,Mouse,Sul,7,107.65,753.55
2024-02-01,Placa de Vídeo,Centro-Oeste,3,1802.09,5406.27
2024-02-01,Placa de Vídeo,Sudeste,7,1823.07,12761.49
2024-02-01,SSD,Sul,4,475.54,1902.16
2024-02-01,Placa de Vídeo,Norte,2,1776.32,3552.65
2024-02-01,SSD,Nordeste,10,422.04,4220.42
2024-02-01,Mouse,Centro-Oeste,13,138.78,1804.18
2024-02-01,SSD,Sudeste,5,467.04,2335.18
2024-02-01,SSD,Nordeste,9,450.77,4056.89
2024-02-01,Mouse,Sudeste,4,140.81,563.26
2024-02-01,Mouse,Nordeste,6,120.99,725.95
2024-02-01,Placa de Vídeo,Nordeste,8,1878.28,15026.27
2024-02-02,Placa de Vídeo,Sudeste,4,1656.02,6624.09
2024-02-02,Mouse,Nordeste,10,92.63,926.33
2024-02-02,Placa de Vídeo,Nordeste,2,1723.84,3447.67
2024-02-02,SSD,Sudeste,7,450.45,3153.12
2024-02-02,Mouse,Norte,3,130.64,391.93
2024-02-02,Mouse,Sul,4,110.25,441.01
2024-02-02,SSD,Nordeste,2,455.36,910.72
2024-02-02,Mouse,Centro-Oeste,6,129.99,779.97
2024-02-02,Mouse,Centro-Oeste,8,126.94,1015.51
2024-02-02,Mouse,Sul,8,131.63,1053.03
2024-02-02,Mouse,Sudeste,10,99.07,990.7
2024-02-02,SSD,Centro-Oeste,6,479.49,2876.97
2024-02-02,Placa de Vídeo,Nordeste,1,1914.11,1914.11
2024-02-03,SSD,Sudeste,6,389.29,2335.71
2024-02-03,Mouse,Norte,11,114.64,1261.09
2024-02-03,SSD,Nordeste,2,396.18,792.36
2024-02-03,SSD,Norte,5,477.28,2386.41
2024-02-03,Mouse,Sudeste,6,147.2,883.2
2024-02-03,Placa de Vídeo,Nordeste,6,1734.26,10405.54
2024-02-03,SSD,Sudeste,6,440.78,2644.7
2024-02-03,SSD,Sudeste,5,413.03,2065.15
2024-02-03,Mouse,Nordeste,6,146.49,878.91
2024-02-03,SSD,Sul,2,424.88,849.77
2024-02-03,Placa de Vídeo,Nordeste,4,1778.51,7114.04
2024-02-03,SSD,Sul,7,461.07,3227.5
2024-02-03,SSD,Nordeste,6,415.42,2492.55
2024-02-03,SSD,Sul,6,444.36,2666.18
2024-02-04,Placa de Vídeo,Sul,1,1730.14,1730.14
2024-02-04,SSD,Nordeste,6,415.18,2491.08
2024-02-04,SSD,Norte,6,431.03,2586.2
2024-02-04,Mouse,Sul,9,139.89,1259.01
2024-02-04,SSD,Nordeste,2,428.02,856.04
2024-02-04,SSD,Norte,2,484.38,968.77
2024-02-04,Placa de Vídeo,Nordeste,2,1974.92,3949.84
2024-02-04,Placa de Vídeo,Sudeste,6,1698.18,10189.05
2024-02-05,SSD,Sul,10,395.96,3959.57
2024-02-05,SSD,Nordeste,8,397.1,3176.81
2024-02-05,Placa de Vídeo,Norte,7,1959.47,13716.31
2024-02-05,SSD,Sul,6,424.45,2546.67
2024-02-05,Placa de Vídeo,Nordeste,5,1662.24,8311.19
2024-02-05,SSD,Sudeste,5,427.41,2137.05
2024-02-05,Placa de Vídeo,Norte,5,1795.78,8978.9
2024-02-05,SSD,Sudeste,2,527.26,1054.52
2024-02-05,Mouse,Sul,10,106.4,1064.01
2024-02-05,Placa de Vídeo,Norte,4,1970.94,7883.75
2024-02-05,SSD,Sudeste,5,448.29,2241.44
2024-02-05,SSD,Norte,5,452.32,2261.6
2024-02-06,Placa de Vídeo,Nordeste,1,1711.49,1711.49
2024-02-06,SSD,Nordeste,5,508.28,2541.42
2024-02-06,Placa de Vídeo,Sul,5,1633.95,8169.76
2024-02-06,Placa de Vídeo,Centro-Oeste,4,1981.96,7927.86
2024-02-06,Mouse,Nordeste,8,142.04,1136.28
2024-02-06,SSD,Sudeste,4,435.68,1742.73
2024-02-06,SSD,Centro-Oeste,8,377.27,3018.16
2024-02-07,SSD,Norte,8,367.05,2936.4
2024-02-07,Mouse,Sul,3,113.1,339.3
2024-02-07,SSD,Sudeste,7,447.34,3131.41
2024-02-07,Mouse,Sul,8,109.39,875.12
2024-02-07,SSD,Sul,4,455.01,1820.06
2024-02-07,Placa de Vídeo,Norte,3,1862.21,5586.62
2024-02-07,SSD,Norte,8,503.16,4025.26
2024-02-07,SSD,Nordeste,8,441.74,3533.93
2024-02-07,SSD,Sudeste,5,472.42,2362.1
2024-02-08,SSD,Sudeste,3,514.34,1543.01
2024-02-08,SSD,Sul,2,464.2,928.4
2024-02-08,Mouse,Nordeste,7,132.7,928.88
2024-02-08,Mouse,Sudeste,4,127.5,509.99
2024-02-08,Placa de Vídeo,Sul,6,1893.16,11358.94
2024-02-08,Placa de Vídeo,Sul,3,1826.13,5478.38
2024-02-08,Mouse,Norte,6,117.26,703.58
2024-02-08,Placa de Vídeo,Centro-Oeste,2,1751.54,3503.07
2024-02-08,Mouse,Centro-Oeste,3,138.48,415.44
2024-02-08,Placa de Vídeo,Nordeste,3,1546.26,4638.78
2024-02-08,Placa de Vídeo,Sul,4,1664.57,6658.29
2024-02-08,Mouse,Sudeste,7,104.95,734.67
2024-02-08,Placa de Vídeo,Centro-Oeste,3,1715.34,5146.01
2024-02-09,SSD,Norte,5,449.01,2245.07
2024-02-09,Placa de Vídeo,Norte,7,1681.56,11770.95
2024-02-09,SSD,Centro-Oeste,12,430.02,5160.3
2024-02-09,Placa de Vídeo,Centro-Oeste,6,1823.26,10939.56
2024-02-09,Mouse,Nordeste,7,116.7,816.93
2024-02-09,Placa de Vídeo,Norte,1,1763.94,1763.94
2024-02-09,Mouse,Sudeste,3,128.08,384.25
2024-02-09,SSD,Norte,3,448.76,1346.27
2024-02-09,Placa de Vídeo,Nordeste,1,1709.03,1709.03
2024-02-09,Mouse,Norte,7,119.33,835.3
2024-02-09,Placa de Vídeo,Sul,5,1678.61,8393.03
2024-02-09,Placa de Vídeo,Sul,6,1722.26,10333.57
2024-02-10,Placa de Vídeo,Nordeste,3,1869.33,5608.0
2024-02-10,SSD,Norte,4,392.62,1570.49
2024-02-10,Placa de Vídeo,Norte,7,1694.27,11859.87
2024-02-10,Mouse,Nordeste,8,87.09,696.69
2024-02-10,Placa de Vídeo,Nordeste,6,1809.29,10855.71
2024-02-10,Placa de Vídeo,Nordeste,5,1690.46,8452.3
2024-02-10,Mouse,Sudeste,5,124.48,622.38
2024-02-10,Mouse,Centro-Oeste,7,94.39,660.72
2024-02-10,SSD,Sul,5,387.86,1939.28
2024-02-10,Mouse,Centro-Oeste,4,131.64,526.55
2024-02-10,Placa de Vídeo,Nordeste,7,1937.21,13560.44
2024-02-10,Mouse,Norte,3,116.38,349.14
2024-02-11,Placa de Vídeo,Sudeste,2,1816.84,3633.68
2024-02-11,SSD,Centro-Oeste,5,461.72,2308.6
2024-02-11,Mouse,Sudeste,2,125.66,251.33
2024-02-11,SSD,Norte,8,393.34,3146.74
2024-02-11,Placa de Vídeo,Sul,5,1865.32,9326.6
2024-02-11,SSD,Norte,6,418.31,2509.87
2024-02-11,SSD,Centro-Oeste,6,360.55,2163.28
2024-02-11,Placa de Vídeo,Nordeste,3,1903.19,5709.56
2024-02-11,SSD,Norte,3,503.83,1511.5
2024-02-12,SSD,Norte,3,443.38,1330.14
2024-02-12,SSD,Centro-Oeste,5,422.82,2114.12
2024-02-12,SSD,Sudeste,8,459.01,3672.08
2024-02-12,Mouse,Sudeste,5,130.39,651.95
2024-02-12,SSD,Sul,2,476.92,953.84
2024-02-12,Placa de Vídeo,Sul,3,1623.54,4870.62
2024-02-12,Mouse,Nordeste,5,118.06,590.29
2024-02-12,SSD,Sul,2,473.19,946.39
2024-02-12,Mouse,Norte,6,126.76,760.55
2024-02-12,SSD,Sul,2,375.21,750.41
2024-02-13,Placa de Vídeo,Nordeste,2,1692.15,3384.29
2024-02-13,Mouse,Nordeste,3,106.58,319.73
2024-02-13,SSD,Sul,4,422.93,1691.73
2024-02-13,Placa de Vídeo,Nordeste,4,1900.46,7601.84
2024-02-13,Placa de Vídeo,Norte,4,1843.23,7372.91
2024-02-13,SSD,Norte,7,468.8,3281.61
2024-02-13,SSD,Centro-Oeste,4,460.09,1840.35
2024-02-13,SSD,Sudeste,1,402.56,402.56
2024-02-13,SSD,Sudeste,5,471.01,2355.04
2024-02-13,Placa de Vídeo,Sul,2,1686.22,3372.44
2024-02-13,Placa de Vídeo,Nordeste,3,1940.14,5820.43
2024-02-13,Mouse,Nordeste,8,102.87,823.0
2024-02-13,SSD,Sul,2,539.04,1078.08
2024-02-13,Placa de Vídeo,Norte,1,1801.09,1801.09
2024-02-14,Placa de Vídeo,Sul,3,1704.77,5114.31
2024-02-14,Placa de Vídeo,Sudeste,7,1732.3,12126.1
2024-02-14,SSD,Centro-Oeste,5,420.59,2102.94
2024-02-14,Placa de Vídeo,Sul,3,1872.15,5616.44
2024-02-14,SSD,Sudeste,4,410.0,1640.02
2024-02-14,Mouse,Nordeste,5,116.44,582.21
2024-02-15,SSD,Norte,5,447.72,2238.58
2024-02-15,Mouse,Norte,9,117.03,1053.31
2024-02-15,Placa de Vídeo,Nordeste,2,1777.68,3555.37
2024-02-15,SSD,Sul,4,471.74,1886.98
2024-02-15,Mouse,Centro-Oeste,4,108.6,434.39
2024-02-15,Mouse,Sul,7,124.31,870.15
2024-02-15,Mouse,Sudeste,3,96.58,289.73
2024-02-15,Placa de Vídeo,Nordeste,7,1950.34,13652.39
2024-02-15,SSD,Norte,6,410.55,2463.31
2024-02-16,Mouse,Norte,8,141.28,1130.23
2024-02-16,SSD,Nordeste,2,552.19,1104.37
2024-02-16,Placa de Vídeo,Centro-Oeste,2,1735.78,3471.56
2024-02-16,Placa de Vídeo,Nordeste,6,1799.76,10798.56
2024-02-16,Mouse,Nordeste,16,111.16,1778.57
2024-02-16,SSD,Sul,4,429.22,1716.9
2024-02-16,SSD,Nordeste,5,436.36,2181.82
2024-02-17,Mouse,Sudeste,6,142.7,856.2
2024-02-17,Placa de Vídeo,Sul,4,1948.15,7792.61
2024-02-17,SSD,Sudeste,2,454.34,908.68
2024-02-17,SSD,Norte,5,433.29,2166.43
2024-02-17,Mouse,Sudeste,6,135.93,815.58
2024-02-17,SSD,Sudeste,8,456.7,3653.61
2024-02-17,Mouse,Nordeste,7,159.5,1116.52
2024-02-17,Mouse,Sul,4,127.98,511.9
2024-02-17,Placa de Vídeo,Nordeste,4,1961.84,7847.35
2024-02-17,Placa de Vídeo,Sudeste,9,1773.9,15965.06
2024-02-17,Placa de Vídeo,Sul,3,1671.17,5013.51
2024-02-17,Placa de Vídeo,Sudeste,2,1829.27,3658.54
